yyyymmdd,temperature,year,month,day,ltm,anomaly
20090413,23.700000000000003,2009,4,13,23.17058823529412,0.529411764705884
20090414,24.700000000000003,2009,4,14,23.041176470588237,1.658823529411766
20090415,23.1,2009,4,15,22.329411764705885,0.7705882352941167
20090416,23.1,2009,4,16,22.658823529411762,0.44117647058823906
20090417,23.900000000000002,2009,4,17,23.264705882352942,0.6352941176470601
20090418,21.900000000000002,2009,4,18,23.264705882352946,-1.3647058823529434
20090419,25.5,2009,4,19,23.65294117647059,1.8470588235294088
20090420,27.200000000000003,2009,4,20,24.023529411764706,3.176470588235297
20090421,25.3,2009,4,21,24.558823529411764,0.7411764705882362
20090422,22.400000000000002,2009,4,22,24.158823529411766,-1.7588235294117638
20090423,22.200000000000003,2009,4,23,23.864705882352943,-1.6647058823529406
20090424,22.8,2009,4,24,23.829411764705885,-1.029411764705884
20090425,22.8,2009,4,25,23.894117647058824,-1.0941176470588232
20090426,19.200000000000003,2009,4,26,24.02352941176471,-4.8235294117647065
20090427,21.0,2009,4,27,24.21764705882353,-3.2176470588235304
20090428,21.900000000000002,2009,4,28,24.0,-2.099999999999998
20090429,21.900000000000002,2009,4,29,24.158823529411762,-2.2588235294117602
20090430,22.700000000000003,2009,4,30,24.74705882352941,-2.047058823529408
20090501,23.3,2009,5,1,24.905882352941177,-1.605882352941176
20090502,23.700000000000003,2009,5,2,25.02352941176471,-1.3235294117647065
20090503,24.200000000000003,2009,5,3,25.082352941176474,-0.882352941176471
20090504,23.6,2009,5,4,24.835294117647063,-1.2352941176470615
20090505,24.0,2009,5,5,25.13529411764706,-1.1352941176470601
20090506,23.5,2009,5,6,25.482352941176472,-1.9823529411764724
20090507,24.200000000000003,2009,5,7,25.764705882352942,-1.5647058823529392
20090508,24.3,2009,5,8,26.00588235294118,-1.7058823529411775
20090509,25.200000000000003,2009,5,9,26.464705882352945,-1.264705882352942
20090510,25.400000000000002,2009,5,10,26.14117647058824,-0.7411764705882362
20090511,26.5,2009,5,11,25.994117647058825,0.5058823529411747
20090512,27.0,2009,5,12,26.305882352941175,0.6941176470588246
20090513,27.1,2009,5,13,26.394117647058827,0.705882352941174
20090514,26.0,2009,5,14,26.6,-0.6000000000000014
20090515,26.3,2009,5,15,26.782352941176473,-0.4823529411764724
20090516,25.8,2009,5,16,26.37058823529412,-0.570588235294121
20090517,27.3,2009,5,17,26.45294117647059,0.8470588235294123
20090518,28.5,2009,5,18,27.041176470588233,1.4588235294117666
20090519,28.6,2009,5,19,27.15294117647059,1.4470588235294102
20090520,27.6,2009,5,20,26.61764705882353,0.9823529411764724
20090521,27.5,2009,5,21,26.205882352941178,1.2941176470588225
20090522,27.700000000000003,2009,5,22,26.470588235294116,1.2294117647058869
20090523,25.700000000000003,2009,5,23,26.48823529411765,-0.7882352941176478
20090524,25.5,2009,5,24,26.61764705882353,-1.117647058823529
20090525,24.900000000000002,2009,5,25,27.05294117647059,-2.1529411764705877
20090526,25.3,2009,5,26,27.541176470588237,-2.241176470588236
20090527,25.5,2009,5,27,27.68235294117647,-2.1823529411764717
20090528,23.5,2009,5,28,27.623529411764704,-4.123529411764704
20090529,22.200000000000003,2009,5,29,27.588235294117652,-5.388235294117649
20090530,25.3,2009,5,30,27.694117647058825,-2.394117647058824
20090531,26.400000000000002,2009,5,31,28.01764705882353,-1.617647058823529
20090601,26.900000000000002,2009,6,1,28.105882352941176,-1.205882352941174
20090602,27.1,2009,6,2,28.03529411764706,-0.9352941176470573
20090603,28.200000000000003,2009,6,3,28.458823529411767,-0.2588235294117638
20090604,27.6,2009,6,4,28.347058823529412,-0.7470588235294109
20090605,27.8,2009,6,5,28.282352941176473,-0.4823529411764724
20090606,28.6,2009,6,6,28.029411764705884,0.5705882352941174
20090607,27.700000000000003,2009,6,7,28.22941176470588,-0.5294117647058769
20090608,27.5,2009,6,8,28.43529411764706,-0.9352941176470608
20090609,26.900000000000002,2009,6,9,28.35294117647059,-1.4529411764705884
20090610,28.3,2009,6,10,28.18235294117647,0.117647058823529
20090611,26.6,2009,6,11,27.947058823529417,-1.3470588235294159
20090612,27.0,2009,6,12,27.670588235294115,-0.6705882352941153
20090613,29.0,2009,6,13,28.052941176470586,0.9470588235294137
20090614,27.6,2009,6,14,28.023529411764706,-0.4235294117647044
20090615,26.6,2009,6,15,28.2,-1.5999999999999979
20090616,27.400000000000002,2009,6,16,28.2764705882353,-0.8764705882352963
20090617,28.8,2009,6,17,28.335294117647063,0.46470588235293775
20090618,29.0,2009,6,18,28.78235294117647,0.21764705882353041
20090619,29.1,2009,6,19,29.13529411764706,-0.0352941176470587
20090620,29.900000000000002,2009,6,20,29.6,0.3000000000000007
20090621,30.1,2009,6,21,29.31764705882353,0.7823529411764731
20090622,29.6,2009,6,22,28.67058823529412,0.9294117647058826
20090623,29.8,2009,6,23,28.735294117647058,1.0647058823529427
20090624,29.1,2009,6,24,28.900000000000002,0.1999999999999993
20090625,28.8,2009,6,25,28.75882352941177,0.04117647058822982
20090626,27.700000000000003,2009,6,26,29.02352941176471,-1.3235294117647065
20090627,26.700000000000003,2009,6,27,29.088235294117652,-2.3882352941176492
20090628,26.3,2009,6,28,28.547058823529415,-2.2470588235294144
20090629,29.0,2009,6,29,28.994117647058825,0.005882352941174673
20090630,29.6,2009,6,30,28.894117647058827,0.705882352941174
20090701,29.6,2009,7,1,29.076470588235296,0.5235294117647058
20090702,29.6,2009,7,2,29.241176470588236,0.3588235294117652
20090703,29.5,2009,7,3,29.311764705882354,0.1882352941176464
20090704,28.5,2009,7,4,29.417647058823533,-0.9176470588235333
20090705,25.8,2009,7,5,29.18823529411765,-3.3882352941176492
20090706,27.8,2009,7,6,28.894117647058824,-1.0941176470588232
20090707,29.200000000000003,2009,7,7,29.04705882352941,0.15294117647059124
20090708,29.5,2009,7,8,29.447058823529414,0.05294117647058627
20090709,29.700000000000003,2009,7,9,29.452941176470585,0.247058823529418
20090710,30.200000000000003,2009,7,10,29.294117647058822,0.9058823529411804
20090711,28.900000000000002,2009,7,11,29.38235294117647,-0.4823529411764689
20090712,29.6,2009,7,12,29.60588235294118,-0.005882352941178226
20090713,29.6,2009,7,13,29.523529411764706,0.07647058823529562
20090714,29.200000000000003,2009,7,14,29.482352941176472,-0.2823529411764696
20090715,29.400000000000002,2009,7,15,29.241176470588236,0.15882352941176592
20090716,29.200000000000003,2009,7,16,29.0,0.20000000000000284
20090717,29.900000000000002,2009,7,17,29.13529411764706,0.764705882352942
20090718,29.400000000000002,2009,7,18,28.86470588235294,0.5352941176470623
20090719,26.400000000000002,2009,7,19,28.8,-2.3999999999999986
20090720,28.400000000000002,2009,7,20,28.78235294117647,-0.38235294117646745
20090721,29.0,2009,7,21,29.094117647058823,-0.0941176470588232
20090722,28.900000000000002,2009,7,22,29.14117647058824,-0.2411764705882362
20090723,28.900000000000002,2009,7,23,29.135294117647057,-0.23529411764705443
20090724,29.5,2009,7,24,29.34705882352941,0.15294117647059124
20090725,29.6,2009,7,25,29.500000000000004,0.09999999999999787
20090726,29.1,2009,7,26,29.27058823529412,-0.17058823529411882
20090727,28.700000000000003,2009,7,27,29.105882352941173,-0.4058823529411697
20090728,29.3,2009,7,28,29.45294117647059,-0.1529411764705877
20090729,29.900000000000002,2009,7,29,29.33529411764706,0.5647058823529427
20090730,28.900000000000002,2009,7,30,29.358823529411765,-0.4588235294117631
20090731,29.3,2009,7,31,29.35294117647059,-0.052941176470589824
20090801,30.3,2009,8,1,29.38823529411765,0.9117647058823515
20090802,30.8,2009,8,2,29.10588235294118,1.694117647058821
20090803,29.900000000000002,2009,8,3,28.65294117647059,1.2470588235294109
20090804,28.0,2009,8,4,28.7764705882353,-0.7764705882352985
20090805,27.6,2009,8,5,28.82352941176471,-1.2235294117647086
20090806,29.0,2009,8,6,28.78235294117647,0.21764705882353041
20090807,29.6,2009,8,7,29.435294117647057,0.16470588235294414
20090808,30.400000000000002,2009,8,8,29.60588235294118,0.7941176470588225
20090809,30.3,2009,8,9,29.32941176470588,0.9705882352941195
20090810,29.200000000000003,2009,8,10,28.488235294117647,0.7117647058823557
20090811,28.1,2009,8,11,28.352941176470587,-0.25294117647058556
20090812,27.3,2009,8,12,28.55294117647059,-1.2529411764705891
20090813,26.400000000000002,2009,8,13,28.529411764705884,-2.129411764705882
20090814,27.8,2009,8,14,28.38235294117647,-0.5823529411764703
20090815,29.3,2009,8,15,28.694117647058825,0.6058823529411761
20090816,29.900000000000002,2009,8,16,28.599999999999998,1.3000000000000043
20090817,29.1,2009,8,17,28.558823529411764,0.5411764705882369
20090818,28.700000000000003,2009,8,18,28.88823529411765,-0.1882352941176464
20090819,29.400000000000002,2009,8,19,28.611764705882354,0.7882352941176478
20090820,29.8,2009,8,20,28.764705882352942,1.0352941176470587
20090821,30.1,2009,8,21,29.258823529411767,0.8411764705882341
20090822,30.0,2009,8,22,29.141176470588242,0.8588235294117581
20090823,30.400000000000002,2009,8,23,29.058823529411764,1.3411764705882376
20090824,30.1,2009,8,24,29.264705882352946,0.8352941176470559
20090825,29.900000000000002,2009,8,25,29.005882352941175,0.8941176470588275
20090826,30.0,2009,8,26,29.04705882352941,0.9529411764705884
20090827,30.0,2009,8,27,28.582352941176474,1.4176470588235262
20090828,30.400000000000002,2009,8,28,28.67058823529412,1.7294117647058833
20090829,30.3,2009,8,29,28.98823529411765,1.31176470588235
20090830,30.400000000000002,2009,8,30,29.00588235294118,1.394117647058824
20090831,29.900000000000002,2009,8,31,28.764705882352946,1.1352941176470566
20090901,29.900000000000002,2009,9,1,28.711764705882356,1.1882352941176464
20090902,30.0,2009,9,2,28.470588235294116,1.529411764705884
20090903,30.6,2009,9,3,28.45882352941177,2.1411764705882312
20090904,30.0,2009,9,4,28.358823529411765,1.6411764705882348
20090905,30.1,2009,9,5,28.44117647058824,1.6588235294117624
20090906,29.900000000000002,2009,9,6,28.794117647058822,1.1058823529411796
20090907,30.0,2009,9,7,28.641176470588235,1.3588235294117652
20090908,29.900000000000002,2009,9,8,28.60588235294118,1.2941176470588225
20090909,29.0,2009,9,9,28.48823529411765,0.5117647058823493
20090910,28.8,2009,9,10,28.370588235294115,0.42941176470588616
20090911,27.5,2009,9,11,28.46470588235294,-0.9647058823529413
20090912,28.5,2009,9,12,28.411764705882355,0.08823529411764497
20090913,29.400000000000002,2009,9,13,28.74705882352941,0.6529411764705912
20090914,27.3,2009,9,14,28.605882352941176,-1.3058823529411754
20090915,26.5,2009,9,15,28.800000000000004,-2.3000000000000043
20090916,27.900000000000002,2009,9,16,28.547058823529415,-0.647058823529413
20090917,29.0,2009,9,17,28.764705882352946,0.23529411764705443
20090918,29.6,2009,9,18,28.747058823529414,0.852941176470587
20090919,30.6,2009,9,19,28.558823529411768,2.0411764705882334
20090920,30.1,2009,9,20,28.352941176470587,1.7470588235294144
20090921,28.900000000000002,2009,9,21,28.011764705882356,0.8882352941176457
20090922,28.200000000000003,2009,9,22,28.147058823529417,0.05294117647058627
20090923,28.6,2009,9,23,27.970588235294116,0.6294117647058854
20090924,29.200000000000003,2009,9,24,27.73529411764706,1.4647058823529413
20090925,29.200000000000003,2009,9,25,27.947058823529417,1.2529411764705856
20090926,29.6,2009,9,26,28.094117647058823,1.5058823529411782
20090927,29.1,2009,9,27,28.28235294117647,0.8176470588235318
20090928,26.200000000000003,2009,9,28,28.20588235294118,-2.0058823529411782
20090929,24.900000000000002,2009,9,29,27.88235294117647,-2.982352941176469
20090930,26.3,2009,9,30,27.69411764705882,-1.3941176470588204
20091001,27.5,2009,10,1,27.65294117647059,-0.15294117647059124
20091002,28.0,2009,10,2,27.794117647058822,0.20588235294117752
20091003,27.700000000000003,2009,10,3,27.352941176470587,0.34705882352941586
20091004,28.0,2009,10,4,27.288235294117644,0.7117647058823557
20091005,28.1,2009,10,5,27.32352941176471,0.7764705882352914
20091006,28.400000000000002,2009,10,6,27.035294117647055,1.364705882352947
20091007,27.700000000000003,2009,10,7,26.947058823529414,0.7529411764705891
20091008,26.200000000000003,2009,10,8,26.847058823529412,-0.6470588235294095
20091009,26.6,2009,10,9,26.67058823529412,-0.0705882352941174
20091010,26.8,2009,10,10,26.282352941176473,0.5176470588235276
20091011,25.900000000000002,2009,10,11,26.158823529411766,-0.2588235294117638
20091012,25.3,2009,10,12,26.158823529411762,-0.8588235294117617
20091013,26.700000000000003,2009,10,13,26.029411764705884,0.6705882352941188
20091014,25.6,2009,10,14,25.976470588235294,-0.3764705882352928
20091015,25.6,2009,10,15,25.911764705882355,-0.3117647058823536
20091016,25.8,2009,10,16,26.076470588235296,-0.2764705882352949
20091017,26.5,2009,10,17,25.658823529411762,0.8411764705882376
20091018,26.0,2009,10,18,25.02352941176471,0.9764705882352906
20091019,25.8,2009,10,19,25.229411764705883,0.5705882352941174
20091020,24.5,2009,10,20,25.417647058823533,-0.9176470588235333
20091021,24.900000000000002,2009,10,21,25.24705882352941,-0.34705882352940876
20091022,25.700000000000003,2009,10,22,25.176470588235297,0.5235294117647058
20091023,26.3,2009,10,23,25.30588235294118,0.9941176470588218
20091024,26.200000000000003,2009,10,24,25.400000000000002,0.8000000000000007
20091025,26.0,2009,10,25,25.194117647058825,0.8058823529411754
20091026,25.200000000000003,2009,10,26,25.00588235294118,0.19411764705882462
20091027,24.400000000000002,2009,10,27,24.95882352941177,-0.558823529411768
20091028,24.5,2009,10,28,24.88823529411765,-0.38823529411764923
20091029,24.8,2009,10,29,24.729411764705883,0.0705882352941174
20091030,24.8,2009,10,30,24.423529411764704,0.37647058823529633
20091031,25.700000000000003,2009,10,31,24.223529411764705,1.4764705882352978
20091101,26.3,2009,11,1,23.935294117647057,2.3647058823529434
20091102,22.900000000000002,2009,11,2,23.52352941176471,-0.6235294117647072
20091103,18.5,2009,11,3,23.15294117647059,-4.652941176470591
20091104,21.0,2009,11,4,23.429411764705886,-2.429411764705886
20091105,23.5,2009,11,5,23.558823529411764,-0.0588235294117645
20091106,24.200000000000003,2009,11,6,24.076470588235296,0.12352941176470722
20091107,25.0,2009,11,7,24.400000000000006,0.5999999999999943
20091108,25.3,2009,11,8,23.564705882352943,1.735294117647058
20091109,25.6,2009,11,9,23.14117647058824,2.458823529411763
20091110,26.400000000000002,2009,11,10,22.952941176470592,3.44705882352941
20091111,26.200000000000003,2009,11,11,22.905882352941177,3.294117647058826
20091112,25.8,2009,11,12,22.788235294117648,3.011764705882353
20091113,19.0,2009,11,13,22.52352941176471,-3.5235294117647094
20091114,17.6,2009,11,14,22.758823529411767,-5.158823529411766
20091115,19.6,2009,11,15,22.900000000000006,-3.3000000000000043
20091116,17.400000000000002,2009,11,16,22.923529411764708,-5.523529411764706
20091117,12.200000000000001,2009,11,17,22.50588235294118,-10.305882352941177
20091118,12.3,2009,11,18,22.482352941176472,-10.182352941176472
20091119,14.9,2009,11,19,22.22352941176471,-7.323529411764708
20091120,15.5,2009,11,20,21.870588235294118,-6.370588235294118
20091121,14.5,2009,11,21,21.788235294117644,-7.288235294117644
20091122,15.9,2009,11,22,21.77058823529412,-5.87058823529412
20091123,18.8,2009,11,23,21.476470588235294,-2.6764705882352935
20091124,20.400000000000002,2009,11,24,21.364705882352943,-0.9647058823529413
20091125,20.700000000000003,2009,11,25,21.299999999999997,-0.5999999999999943
20091126,21.200000000000003,2009,11,26,20.97647058823529,0.2235294117647122
20091127,22.0,2009,11,27,20.547058823529415,1.4529411764705848
20091128,21.1,2009,11,28,20.21764705882353,0.882352941176471
20091129,20.900000000000002,2009,11,29,20.711764705882356,0.1882352941176464
20091130,19.700000000000003,2009,11,30,20.582352941176474,-0.882352941176471
20091201,19.0,2009,12,1,19.588235294117652,-0.5882352941176521
20091202,19.8,2009,12,2,19.05294117647059,0.7470588235294109
20091203,17.400000000000002,2009,12,3,19.06470588235294,-1.664705882352937
20091204,17.6,2009,12,4,19.17058823529412,-1.5705882352941174
20091205,17.3,2009,12,5,18.66470588235294,-1.3647058823529399
20091206,18.400000000000002,2009,12,6,18.882352941176475,-0.4823529411764724
20091207,17.900000000000002,2009,12,7,19.147058823529417,-1.2470588235294144
20091208,18.6,2009,12,8,18.852941176470587,-0.25294117647058556
20091209,19.700000000000003,2009,12,9,18.658823529411766,1.041176470588237
20091210,20.3,2009,12,10,18.935294117647057,1.3647058823529434
20091211,21.0,2009,12,11,19.329411764705885,1.6705882352941153
20091212,20.400000000000002,2009,12,12,18.958823529411767,1.4411764705882355
20091213,20.6,2009,12,13,19.211764705882356,1.3882352941176457
20091214,19.8,2009,12,14,18.941176470588236,0.8588235294117652
20091215,19.0,2009,12,15,18.294117647058822,0.7058823529411775
20091216,13.9,2009,12,16,16.91176470588235,-3.011764705882351
20091217,12.9,2009,12,17,16.111764705882354,-3.211764705882354
20091218,12.5,2009,12,18,16.041176470588237,-3.541176470588237
20091219,13.3,2009,12,19,16.464705882352945,-3.164705882352944
20091220,13.8,2009,12,20,17.570588235294117,-3.7705882352941167
20091221,14.700000000000001,2009,12,21,18.511764705882356,-3.8117647058823554
20091222,16.0,2009,12,22,18.223529411764705,-2.223529411764705
20091223,18.0,2009,12,23,17.729411764705883,0.2705882352941167
20091224,20.0,2009,12,24,18.147058823529413,1.852941176470587
20091225,19.900000000000002,2009,12,25,17.852941176470587,2.047058823529415
20091226,18.1,2009,12,26,17.576470588235296,0.5235294117647058
20091227,15.700000000000001,2009,12,27,16.96470588235294,-1.2647058823529402
20091228,12.200000000000001,2009,12,28,16.888235294117646,-4.688235294117645
20091229,15.5,2009,12,29,17.05294117647059,-1.5529411764705898
20091230,17.2,2009,12,30,16.16470588235294,1.0352941176470587
20091231,16.2,2009,12,31,15.72352941176471,0.47647058823528887
20100101,16.2,2010,1,1,15.962500000000002,0.23749999999999716
20100102,17.400000000000002,2010,1,2,16.606250000000003,0.7937499999999993
20100103,17.0,2010,1,3,17.329411764705885,-0.32941176470588474
20100104,17.900000000000002,2010,1,4,17.48823529411765,0.4117647058823515
20100105,17.3,2010,1,5,17.711764705882352,-0.4117647058823515
20100106,15.8,2010,1,6,17.147058823529417,-1.3470588235294159
20100107,13.700000000000001,2010,1,7,16.629411764705885,-2.9294117647058844
20100108,13.700000000000001,2010,1,8,16.44117647058824,-2.741176470588238
20100109,15.100000000000001,2010,1,9,15.717647058823532,-0.6176470588235308
20100110,17.400000000000002,2010,1,10,16.33529411764706,1.0647058823529427
20100111,15.0,2010,1,11,16.38823529411765,-1.3882352941176492
20100112,12.100000000000001,2010,1,12,16.047058823529415,-3.9470588235294137
20100113,12.9,2010,1,13,15.6,-2.6999999999999993
20100114,14.5,2010,1,14,15.882352941176471,-1.382352941176471
20100115,15.8,2010,1,15,16.18235294117647,-0.382352941176471
20100116,16.7,2010,1,16,16.73529411764706,-0.03529411764706225
20100117,16.5,2010,1,17,16.67058823529412,-0.17058823529411882
20100118,16.900000000000002,2010,1,18,16.729411764705883,0.17058823529411882
20100119,18.1,2010,1,19,17.317647058823532,0.7823529411764696
20100120,21.3,2010,1,20,17.794117647058826,3.5058823529411747
20100121,22.3,2010,1,21,17.523529411764706,4.776470588235295
20100122,18.3,2010,1,22,16.870588235294118,1.4294117647058826
20100123,15.5,2010,1,23,16.147058823529413,-0.647058823529413
20100124,15.700000000000001,2010,1,24,15.38823529411765,0.31176470588235183
20100125,18.400000000000002,2010,1,25,15.964705882352943,2.435294117647059
20100126,16.1,2010,1,26,16.147058823529413,-0.0470588235294116
20100127,16.900000000000002,2010,1,27,15.741176470588236,1.158823529411766
20100128,19.400000000000002,2010,1,28,16.376470588235296,3.023529411764706
20100129,18.400000000000002,2010,1,29,16.011764705882356,2.3882352941176457
20100130,18.6,2010,1,30,16.329411764705885,2.2705882352941167
20100131,21.400000000000002,2010,1,31,16.358823529411765,5.041176470588237
20100201,21.6,2010,2,1,16.629411764705882,4.9705882352941195
20100202,19.0,2010,2,2,16.447058823529414,2.5529411764705863
20100203,18.2,2010,2,3,16.5,1.6999999999999993
20100204,17.2,2010,2,4,16.670588235294115,0.529411764705884
20100205,17.400000000000002,2010,2,5,16.88235294117647,0.5176470588235311
20100206,17.5,2010,2,6,17.3,0.1999999999999993
20100207,17.1,2010,2,7,17.541176470588233,-0.44117647058823195
20100208,18.0,2010,2,8,17.229411764705883,0.7705882352941167
20100209,21.6,2010,2,9,16.67058823529412,4.929411764705883
20100210,24.1,2010,2,10,16.5,7.600000000000001
20100211,25.0,2010,2,11,16.870588235294118,8.129411764705882
20100212,16.7,2010,2,12,16.941176470588236,-0.2411764705882362
20100213,13.200000000000001,2010,2,13,17.27058823529412,-4.070588235294119
20100214,15.4,2010,2,14,17.841176470588238,-2.4411764705882373
20100215,12.600000000000001,2010,2,15,17.617647058823533,-5.017647058823531
20100216,10.200000000000001,2010,2,16,17.16470588235294,-6.9647058823529395
20100217,9.700000000000001,2010,2,17,16.882352941176475,-7.1823529411764735
20100218,9.1,2010,2,18,16.788235294117644,-7.688235294117645
